bg_id,date,station,alex_qpcr,dens,alex_seqs_18s,tot_18s_seqs,sxtA
SB198,11/14/17,18,14,ND,2,18545,1
SB199,11/14/17,22,23,ND,1,18938,NA
SB200,11/14/17,27,2,ND,0,10350,NA
SB201,11/14/17,32,3,ND,0,261,NA
SB202,11/14/17,36,2,ND,0,3966,NA
SB203,11/14/17,657,13,ND,0,30604,NA
SB258,1/10/18,18,322,NA,NA,NA,NA
SB259,1/10/18,22,646,NA,NA,NA,NA
SB260,1/10/18,27,ND,NA,NA,NA,NA
SB266,2/7/18,18,5960,NA,NA,NA,NA
SB267,2/7/18,22,2083,NA,NA,NA,NA
SB268,2/7/18,27,381,NA,NA,NA,NA
SB272,2/23/18,18,7999,NA,NA,NA,NA
SB273,2/23/18,22,2350,NA,NA,NA,NA
SB274,2/23/18,27,145,NA,NA,NA,NA
SB277,3/9/18,18,82363,NA,NA,NA,NA
SB278,3/9/18,27,7970,NA,NA,NA,NA
SB283,3/15/18,18,93376,NA,NA,NA,NA
SB284,3/15/18,27,11655,NA,NA,NA,NA
SB288,3/26/18,18,5829,NA,NA,NA,NA
SB289,3/26/18,27,669,NA,NA,NA,NA
SB292,4/9/18,18,298,NA,NA,NA,NA
SB293,4/9/18,27,102,NA,NA,NA,NA
SB298,4/18/18,18,551,NA,NA,NA,NA
SB299,4/18/18,22,846,NA,NA,NA,NA
SB300,4/18/18,27,458,NA,NA,NA,NA
SB304,5/17/18,18,114,NA,NA,NA,NA
SB305,5/17/18,22,112,NA,NA,NA,NA
SB306,5/17/18,27,51666,NA,NA,NA,NA
SB309,6/6/18,18,300,NA,NA,NA,NA
SB310,6/6/18,22,115,NA,NA,NA,NA
SB311,6/6/18,27,20,NA,NA,NA,NA
SB316,6/11/18,18,154,NA,NA,NA,NA
SB317,6/11/18,22,38,NA,NA,NA,NA
SB318,6/11/18,27,42,NA,NA,NA,NA
SB324,7/12/18,18,957,NA,NA,NA,NA
SB325,7/12/18,22,324,NA,NA,NA,NA
SB326,7/12/18,27,38,NA,NA,NA,NA
SB330,7/20/18,18,354,NA,NA,NA,NA
SB331,7/20/18,27,21,NA,NA,NA,NA
SB335,8/3/18,18,10603,NA,NA,NA,NA
SB336,8/3/18,22,338,NA,NA,NA,NA
SB342,8/14/18,18,16418,NA,NA,NA,NA
SB343,8/14/18,22,152,NA,NA,NA,NA
SB344,8/14/18,27,24,NA,NA,NA,NA
SB212,12/16/15,13,ND,NA,NA,NA,NA
SB213,12/16/15,18,ND,NA,NA,NA,NA
SB214,12/16/15,22,ND,NA,NA,NA,NA
SB215,12/16/15,27,ND,NA,NA,NA,NA
SB216,12/16/15,32,ND,NA,NA,NA,NA
SB217,12/16/15,36,ND,NA,NA,NA,NA
SB220,1/21/16,13,135,NA,NA,NA,NA
SB221,1/21/16,18,52,NA,NA,NA,NA
SB222,1/21/16,22,300,NA,NA,NA,NA
SB223,1/21/16,27,77,NA,NA,NA,NA
SB224,1/21/16,32,61,NA,NA,NA,NA
SB225,1/21/16,36,52,NA,NA,NA,NA
SB228,3/9/16,13,52,NA,NA,NA,NA
SB229,3/9/16,18,77,NA,NA,NA,NA
SB231,3/16/16,18,4113,NA,NA,NA,NA
SB232,3/16/16,22,2172,NA,NA,NA,NA
SB233,3/16/16,27,1034,NA,NA,NA,NA
SB234,3/16/16,32,352,NA,NA,NA,NA
SB235,3/16/16,36,66,NA,NA,NA,NA
SB236,4/1/16,22,2893,NA,NA,NA,NA
SB237,4/1/16,27,724,NA,NA,NA,NA
SB238,4/1/16,32,1625,NA,NA,NA,NA
SB239,4/1/16,36,ND,NA,NA,NA,NA
SB241,4/27/16,13,7928,NA,NA,NA,NA
SB242,4/27/16,18,28756,NA,NA,NA,NA
SB243,4/27/16,22,93528,NA,NA,NA,NA
SB244,4/27/16,27,11600,NA,NA,NA,NA
SB245,4/27/16,32,132,NA,NA,NA,NA
SB246,4/27/16,36,59,NA,NA,NA,NA
SB249,5/18/16,13,1114,NA,NA,NA,NA
SB250,5/18/16,18,859,NA,NA,NA,NA
SB251,5/18/16,22,1938,NA,NA,NA,NA
SB252,5/18/16,27,48,NA,NA,NA,NA
SB253,5/18/16,32,ND,NA,NA,NA,NA
SB254,5/18/16,36,ND,NA,NA,NA,NA
SB257,1/10/18,13,612,NA,NA,NA,NA
SB261,1/10/18,32,53,NA,NA,NA,NA
SB262,1/10/18,36,206,NA,NA,NA,NA
SB265,2/7/18,13,417,NA,NA,NA,NA
SB269,2/7/18,32,ND,NA,NA,NA,NA
SB270,2/7/18,36,ND,NA,NA,NA,NA
SB275,2/23/18,32,ND,NA,NA,NA,NA
SB276,2/23/18,36,ND,NA,NA,NA,NA
SB279,3/9/18,32,437,NA,NA,NA,NA
SB280,3/9/18,36,438,NA,NA,NA,NA
SB282,3/15/18,13,12510,NA,NA,NA,NA
SB285,3/15/18,32,ND,NA,NA,NA,NA
SB286,3/15/18,36,523,NA,NA,NA,NA
SB290,3/26/18,32,ND,NA,NA,NA,NA
SB291,3/26/18,36,437,NA,NA,NA,NA
SB294,4/9/18,32,ND,NA,NA,NA,NA
SB295,4/9/18,36,625,NA,NA,NA,NA
SB297,4/18/18,13,ND,NA,NA,NA,NA
SB301,4/18/18,32,ND,NA,NA,NA,NA
SB302,4/18/18,34,ND,NA,NA,NA,NA
SB307,5/17/18,32,ND,NA,NA,NA,NA
