BG_ID	Date	Station	Total Phyto Reads	Actinocyclus	Actinoptychus	Adriamonas	Alexandrium	Amoebophrya_sp_Dinophysis	Amoebophrya_sp_Gymnodinium	Amoebophrya_sp_Karlodinium	Amoebophrya_sp_Prorocentrum	Amoebophrya_sp_Scrippsiella	Apedinella	Aplanochytrium	Archaeplastida	Asteromphalus	Aulacoseira	Aureococcus	Bacillariophyceae	Bathycoccus	Bicosoeca	Bicosoecida	Biddulphia	Bolidomonas	Brockmanniella	Cerataulina	Chaetoceros	Charophyta	Chlamydomonadales	Chlamydomonas	Chlorophyceae	Chlorophyta	Chloroplastida	Chromulinales	Chroomonas	Chrysocampanula	Chrysochromulina	Chrysophyceae	Coccolithales	Cocconeis	Coscinodiscus	Crustomastix	Cryptomonadales	Cryptomonas	Cryptophyceae	Cyclotella	Cylindrotheca	Cymbomonas	Desmodesmus	Dinoflagellata	Dinophysis	Ditylum	Duboscquella	Eucampia	Euduboscquella	eukaryote_marine_clone	Eunotogramma	Gonyaulacales	Gonyaulax	Guinardia	Gymnodinium_clade	Gyrodinium	Hafniomonas	Helicotheca	Hemiarma	Hemiselmis	Heterocapsa	Heterosigma	Isochrysidales	Karlodinium	Katablepharis	Lauderia	Lepidodinium	Leptocylindrus	Mallomonas	Mamiella	Mantoniella	Mediophyceae	Melosira	Micromonas	Monomastix	Mychonastes	Nannochloropsis	Navicula	Neoceratium	Nephroselmis	Nerada	Nitzschia	Noctiluca	Ochrophyta	Odontella	Ostreococcus	Oxyrrhis	Paramonas	Paraphysomonas	Pavlova	Pedinellales	Pedinomonas	Peridiniopsis	Phaeocystis	Plagioselmis	Pleurosigma	Protoperidinium	Prymnesiales	Prymnesiophyceae	Prymnesium	Pseudoisochrysis	Pseudonitzschia	Pseudopedinella	Pteridomonas	Pterosperma	Pyramimonas	Rhizosolenia	Rhodomonas	Skeletonema	Spermatozopsis	Spumella	Stramenopiles	Suessiaceae	Syndiniales	Synedra	Synura	Teleaulax	Telonema	Tetraselmis	Thalassiosira	Thoracosphaeraceae	Thraustochytriaceae	Thraustochytrium	Trebouxiophyceae	Triparma	Ulnaria	Ulvophyceae	Vorticellides	Zygnematophyceae	Stoeckeria	Peridiniales	Akashiwo	eukaryote_clone	Picochlorum	Minidiscus	Fragilariopsis	Scrippsiella	Prorocentrum	Amoebophyra	Amoebophyra_sp_Cochlodinium	Stephanodiscus	Thraustochytriidae	Entomoneis	Pedinophyceae	Symbodinium	Geminigera	prasinophyte	Paragymnodinium	Pediastrum	Gymnodinium	Discostella	Amoebophrya
SB10	3/27/2015	36	31362	0	55	0	0	0	0	12	98	13	52	6	0	0	0	55	66	119	0	0	0	419	0	0	343	130	0	0	0	588	57	0	0	0	256	0	2	0	0	0	658	0	199	0	0	0	0	1023	0	2	5	0	18	547	76	0	0	0	0	102	0	2	0	1442	0	0	0	821	1018	0	0	0	0	0	82	0	0	491	0	0	8	23	0	278	0	9	0	291	0	170	0	0	60	4	31	0	0	0	0	0	0	5	0	52	6	0	2	5	0	2196	0	549	4036	0	0	2272	0	30	0	0	2098	148	17	2768	10	14	0	793	13	0	0	0	0	0	0	0	0	13	5637	0	0	311	38	19	0	0	2	37	0	660	0	0	0	0	0	0
SB6	3/27/2015	18	34322	62	0	0	734	4	71	51	112	223	152	22	0	3	0	0	33	920	3	0	0	55	0	43	360	94	0	0	0	11	22	0	0	0	225	0	5	0	535	0	1145	0	237	0	8	128	0	4947	21	212	18	12	11	397	0	0	168	122	3	527	0	0	0	789	448	250	8	828	457	2	0	169	0	0	0	6	0	1483	0	0	0	24	0	45	0	0	184	238	2	1497	0	0	55	0	68	0	0	109	0	2	293	106	22	22	0	32	3	2	0	2578	17	136	201	0	0	1122	667	3	0	0	2993	780	59	461	34	10	0	167	8	0	0	0	0	0	0	0	18	77	1511	0	0	67	324	58	0	0	0	57	0	606	0	0	0	3528	0	0
SB7	3/27/2015	22	46247	90	0	0	88	22	18	79	137	76	163	30	0	0	0	38	79	1679	0	0	2	63	0	180	764	109	0	0	0	28	42	0	0	0	256	0	25	0	2036	0	1621	3	381	0	34	51	0	6549	38	799	38	27	61	789	0	0	1	232	0	1028	0	0	0	1192	434	84	26	2068	659	4	0	333	0	0	0	2	0	1980	0	0	0	36	0	46	0	0	426	569	23	988	0	0	41	0	133	0	0	51	0	10	206	167	10	6	0	55	7	0	0	2174	48	342	564	0	0	1674	64	5	0	0	3296	1036	11	1626	6	32	0	342	9	0	0	0	0	0	0	0	13	116	3413	0	0	104	765	219	0	0	0	102	0	1067	0	0	0	2007	0	0
SB8	3/27/2015	27	421	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SB9	3/27/2015	32	15509	0	29	0	0	6	0	14	42	0	81	3	0	0	0	30	56	117	0	0	0	59	0	0	65	57	0	0	0	299	27	0	0	0	101	0	0	0	2	0	406	0	129	0	0	0	0	486	0	10	2	0	0	231	32	0	0	0	0	74	0	2	0	852	0	0	0	439	377	0	0	0	0	0	16	0	0	417	0	0	4	2	0	153	0	7	0	132	0	157	0	0	10	0	9	0	0	0	0	0	0	6	0	8	0	0	0	7	0	1182	0	340	2854	0	0	488	0	25	0	0	1041	50	3	1389	0	15	0	224	19	0	0	0	0	0	0	0	0	6	2460	0	0	117	36	37	0	0	0	9	0	256	0	0	0	2	0	0
SB11	5/19/2015	6	6994	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	15	10	0	5	0	16	0	0	28	101	0	17	0	5	17	0	0	0	10	0	0	0	0	0	388	0	50	646	5	0	0	138	0	0	0	0	5	15	0	0	0	0	0	11	0	0	0	588	0	0	0	6	99	0	0	0	0	123	0	0	0	8	0	0	0	5	0	0	0	0	0	44	0	616	0	0	9	0	8	0	0	0	0	0	4	0	0	0	0	0	0	0	0	11	0	37	13	0	0	34	0	0	0	0	200	8	0	1093	30	0	0	104	0	0	0	0	0	0	5	0	0	5	601	0	0	0	67	2	0	0	4	19	338	1217	0	0	0	208	0	0
SB12	5/19/2015	13	20768	0	0	0	0	0	0	0	0	0	55	3	2	0	0	0	93	1169	0	7	0	31	0	0	25	589	0	0	6	413	0	0	0	0	146	0	0	0	0	0	1651	0	1	359	16	0	0	1659	0	9	19	0	0	1027	0	0	0	0	624	99	0	0	0	535	0	0	0	738	669	0	0	0	0	60	0	352	0	502	0	0	3	3	0	0	0	10	0	301	0	1346	0	0	34	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	715	0	305	275	0	0	42	27	66	0	0	3109	289	0	2073	0	63	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	959
SB13	5/19/2015	18	33543	26	20	0	247	0	45	12	48	249	39	37	0	6	0	21	150	1013	0	5	0	44	0	20	733	395	0	0	0	96	21	0	0	0	141	0	5	0	76	0	804	0	195	0	35	131	0	2572	0	239	29	36	45	363	7	0	0	85	0	1346	0	0	0	642	348	7	0	1781	717	57	0	28	0	5	0	330	0	740	0	0	0	130	0	67	0	7	589	657	23	373	0	0	41	0	26	0	0	34	0	83	62	82	14	1	0	13	6	0	0	760	0	414	1857	0	0	860	0	80	0	0	1408	492	0	2493	10	26	0	313	0	0	0	0	0	0	3	0	12	22	5373	0	0	73	1094	57	0	0	0	2	0	417	0	0	0	1578	0	0
SB14	5/19/2015	22	11222	0	93	0	35	0	7	27	10	7	6	3	0	0	0	12	123	268	0	0	2	21	0	0	46	322	0	0	0	109	3	0	0	0	42	0	5	0	11	0	159	0	61	0	7	6	0	688	1	69	2	0	8	203	31	0	0	0	0	150	0	0	0	409	0	0	0	881	365	0	0	0	0	0	0	11	0	112	0	0	0	3	0	16	0	5	4	171	0	55	0	0	3	0	20	0	0	0	0	0	0	13	0	11	0	0	0	0	0	679	0	222	475	0	0	409	0	60	0	0	631	110	0	612	0	15	0	168	9	0	3	0	0	0	0	0	0	22	2684	0	0	35	168	55	0	12	0	3	0	118	0	0	0	116	0	0
SB15	5/19/2015	27	399	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	7	5	0	0	0	2	0	0	0	4	0	0	0	6	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	23	0	0	0	0	0	11	6	0	0	0	0	0	0	0	0	15	3	0	0	16	14	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	6	16	0	0	11	0	5	0	0	38	4	0	16	5	0	0	20	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	3	0	0	0	0	0	5	0	0	0	3	0	0
